"L1","R1","L2","R2","result"
"4","0","0","4","S"
"4","0","1","0","S"
"4","0","1","1","S"
"4","0","1","2",""
"4","0","1","3","S"
"4","0","1","4","S"
"4","0","2","0","S"
"4","0","2","1",""
"4","0","2","2","S"
"4","0","2","3","S"
"4","0","2","4","S"
"4","0","3","0","S"
"4","0","3","1","S"
"4","0","3","2","S"
"4","0","3","3","S"
"4","0","3","4","LL"
"4","0","4","0","S"
"4","0","4","1","S"
"4","0","4","2","S"
"4","0","4","3","LR"
"4","0","4","4","LL"
"4","1","0","0",""
"4","1","0","1","LR"
"4","1","0","2","LR"
"4","1","0","3","LR"
"4","1","0","4",""
"4","1","1","0","RL"
"4","1","1","1","LR"
"4","1","1","2","RL"
"4","1","1","3","LR"
"4","1","1","4","LR"
"4","1","2","0","LL"
"4","1","2","1","LR"
"4","1","2","2","LR"
"4","1","2","3","RR"
"4","1","2","4","RL"
"4","1","3","0","LL"
"4","1","3","1","LL"
"4","1","3","2","LL"
"4","1","3","3","LL"
"4","1","3","4","LL"
"4","1","4","0",""
"4","1","4","1","LR"
"4","1","4","2","LR"
"4","1","4","3","LR"
"4","1","4","4",""
"4","2","0","0",""
"4","2","0","1","LR"
"4","2","0","2","S"
"4","2","0","3",""
"4","2","0","4",""
"4","2","1","0","LL"
"4","2","1","1","S"
"4","2","1","2","RL"
"4","2","1","3","S"
"4","2","1","4","LL"
"4","2","2","0","S"
"4","2","2","1","LR"
"4","2","2","2","LR"
"4","2","2","3","LL"
"4","2","2","4","LL"
"4","2","3","0","RL"
"4","2","3","1","S"
"4","2","3","2","LR"
"4","2","3","3","LR"
"4","2","3","4",""
"4","2","4","0",""
"4","2","4","1","RL"
"4","2","4","2","S"
"4","2","4","3","RL"
"4","2","4","4",""
"4","3","0","0",""
"4","3","0","1","LR"
"4","3","0","2","RR"
"4","3","0","3","RR"
"4","3","0","4",""
"4","3","1","0","RL"
"4","3","1","1","RL"
"4","3","1","2","LL"
"4","3","1","3","LL"
"4","3","1","4","LL"
"4","3","2","0","LL"
"4","3","2","1","LR"
"4","3","2","2","RR"
"4","3","2","3","RR"
"4","3","2","4","RL"
"4","3","3","0",""
"4","3","3","1","LR"
"4","3","3","2","LR"
"4","3","3","3","RR"
"4","3","3","4","RR"
"4","3","4","0",""
"4","3","4","1","RR"
"4","3","4","2",""
"4","3","4","3","RL"
"4","3","4","4",""
"4","4","0","0",""
"4","4","0","1","LR"
"4","4","0","2","RR"
"4","4","0","3","LR"
"4","4","0","4",""
"4","4","1","0","LL"
"4","4","1","1","LR"
"4","4","1","2",""
"4","4","1","3","RR"
"4","4","1","4","RR"
"4","4","2","0","RL"
"4","4","2","1",""
"4","4","2","2","LL"
"4","4","2","3","RL"
"4","4","2","4",""
"4","4","3","0","LL"
"4","4","3","1","RL"
"4","4","3","2","RL"
"4","4","3","3","LR"
"4","4","3","4","RR"
"4","4","4","0",""
"4","4","4","1","RL"
"4","4","4","2","LR"
"4","4","4","3","RL"
"4","4","4","4",""
